국가명,금메달,은메달,동메달,순위,GDP,개최국기준 시차,행복지수,인간개발지수,강설량,인구수,기온,올림픽선수단수,총메달,메달점수,계산순위,1인당GDP,선수당메달
Norway,16,8,13,1,458.398,-7.0,7.365,0.967,185,5457000.0,-2.9,83,37,164520,1,84001.83250870442,0.4457831325301205
Germany,12,10,5,2,4557.35,-7.0,7.034,0.955,75,84080000.0,0.6,149,27,125200,2,54202.545195052335,0.1812080536912751
United States Of America,9,9,7,3,24796.08,-13.0,6.977,0.93,125,333287000.0,2.2,224,25,94780,3,74398.58140281499,0.1116071428571428
People'S Republic Of China,9,4,2,4,18463.13,0.0,5.585,0.796,35,1412000000.0,-3.7,176,15,92080,4,13075.871104815864,0.0852272727272727
Sweden,8,5,5,5,660.918,-7.0,7.384,0.959,150,10487000.0,-1.6,116,18,82700,5,63022.59940879184,0.1551724137931034
Netherlands,8,5,4,6,1070.75,-7.0,7.415,0.953,13,17700000.0,3.4,41,17,82660,6,60494.35028248587,0.4146341463414634
Austria,7,7,4,7,520.343,-7.0,7.163,0.927,225,9042000.0,0.3,106,18,73660,7,57547.33466047334,0.1698113207547169
Switzerland,7,2,5,8,862.819,-7.0,7.512,0.966,225,8776000.0,-0.4,167,14,71200,8,98315.74749316316,0.0838323353293413
Roc,6,12,14,9,2133.09,-9.0,5.459,0.826,120,144200000.0,-6.5,212,32,66560,9,14792.579750346742,0.1509433962264151
France,5,7,2,10,3140.03,-7.0,6.687,0.916,115,67971000.0,4.9,86,14,53580,10,46196.61326153801,0.1627906976744186
Canada,4,8,14,11,2189.79,-11.5,7.025,0.935,225,38930000.0,-10.3,215,26,44560,11,56249.42203955818,0.1209302325581395
Japan,3,6,9,12,5383.68,1.0,6.039,0.921,400,125125000.0,5.2,124,18,33360,12,43026.41358641359,0.1451612903225806
Italy,2,7,8,13,2272.27,-7.0,6.467,0.905,85,58940000.0,7.5,118,17,23820,13,38552.25653206651,0.1440677966101695
Republic Of Korea,2,5,2,14,1804.68,1.0,5.935,0.928,65,51673000.0,-2.4,64,9,22580,14,34925.009192421574,0.140625
Slovenia,2,3,2,15,65.475,-7.0,6.63,0.926,100,2108000.0,0.1,44,7,21580,15,31060.24667931689,0.1590909090909091
Finland,2,2,4,16,314.538,-6.0,7.821,0.946,130,5556000.0,-3.9,95,8,21160,16,56612.3110151188,0.0842105263157894
New Zealand,2,1,0,17,267.636,5.0,7.2,0.933,125,5124000.0,8.9,15,3,20500,17,52231.85011709602,0.2
Australia,1,2,1,18,1677.45,3.0,7.162,0.952,90,25979000.0,5.6,43,4,11040,18,64569.45994841988,0.0930232558139534
Great Britain,1,1,0,19,3442.21,-7.0,6.943,0.946,25,67026000.0,5.2,50,2,10500,19,51356.33933100588,0.04
Hungary,1,0,2,20,198.992,-6.0,6.086,0.867,20,9683000.0,-0.5,14,3,10080,20,20550.6557884953,0.2142857142857142
Belgium,1,0,1,21,619.16,-6.0,6.805,0.945,10,11670000.0,3.3,19,2,10040,21,53055.69837189375,0.1052631578947368
Czech Republic,1,0,1,22,302.061,-6.0,6.92,0.911,70,10510000.0,-1.4,113,2,10040,21,28740.34253092293,0.0176991150442477
Slovakia,1,0,1,23,127.497,-6.0,6.391,0.873,75,5431000.0,-0.7,50,2,10040,21,23475.787147854902,0.04
Belarus,0,2,0,24,70.632,-5.0,5.821,0.824,45,9208000.0,-4.8,29,2,1000,24,7670.721112076455,0.0689655172413793
Spain,0,1,0,25,1570.91,-7.0,6.476,0.911,23,47778000.0,6.0,14,1,500,25,32879.358700657205,0.0714285714285714
Ukraine,0,1,0,26,203.925,-5.0,5.084,0.772,40,38000000.0,-3.5,45,1,500,25,5366.4473684210525,0.0222222222222222
Estonia,0,0,1,27,39.542,-5.0,6.341,0.902,45,1349000.0,-2.9,26,1,40,27,29312.083024462565,0.0384615384615384
Latvia,0,0,1,28,40.83,-5.0,6.18,0.881,35,1879000.0,-2.7,58,1,40,27,21729.64342735497,0.0172413793103448
Poland,0,0,1,29,720.35,-6.0,6.123,0.902,45,3756000.0,-1.8,57,1,40,27,191786.47497337597,0.0175438596491228
